id,name_ar,name_en,category,city,google_maps_url,lat,lng
act_ancient_rijal,زيارة قرية رجال ألمع القديمة,Visit Ancient Village of Rijal Almaa,activities,رجال ألمع,https://www.google.com/maps/search/?api=1&query=Visit+Ancient+Village+of+Rijal+Almaa+%D8%B1%D8%AC%D8%A7%D9%84+%D8%A3%D9%84%D9%85%D8%B9+Aseer+Saudi+Arabia,,
act_cycling,جولات الدراجات,Cycling Tours,activities,عسير,https://www.google.com/maps/search/?api=1&query=Cycling+Tours+%D8%B9%D8%B3%D9%8A%D8%B1+Aseer+Saudi+Arabia,,
act_camping,التخييم,Camping,activities,عسير,https://www.google.com/maps/search/?api=1&query=Camping+%D8%B9%D8%B3%D9%8A%D8%B1+Aseer+Saudi+Arabia,,
farm_liwan,مزرعة الليوان,Liwan Farm,farms,عسير,https://www.google.com/maps/search/?api=1&query=Liwan+Farm+%D8%B9%D8%B3%D9%8A%D8%B1+Aseer+Saudi+Arabia,,
farm_wakan,منتجع مزرعة واكان,Wakan Farm Resort,farms,قرية شرمة,https://www.google.com/maps/search/?api=1&query=Wakan+Farm+Resort+%D9%82%D8%B1%D9%8A%D8%A9+%D8%B4%D8%B1%D9%85%D8%A9+Aseer+Saudi+Arabia,,
farm_honey,كوخ العسل,Honey Cottage,farms,رجال ألمع,https://www.google.com/maps/search/?api=1&query=Honey+Cottage+%D8%B1%D8%AC%D8%A7%D9%84+%D8%A3%D9%84%D9%85%D8%B9+Aseer+Saudi+Arabia,,
farm_abu_talal,مزرعة أبو طلال,Welcome To Abu Talal's Farm,farms,عسير,https://www.google.com/maps/search/?api=1&query=Welcome+To+Abu+Talal%27s+Farm+%D8%B9%D8%B3%D9%8A%D8%B1+Aseer+Saudi+Arabia,,
event_aseer_season_2026,موسم عسير 2026 / موسم الجاكرندا,Aseer Season 2026 / Jacaranda Season,events,أبها,https://www.google.com/maps/search/?api=1&query=Aseer+Season+2026+%2F+Jacaranda+Season+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
event_foundation_day_2026,يوم التأسيس 2026 في عسير,Founding Day 2026,events,عسير,https://www.google.com/maps/search/?api=1&query=Founding+Day+2026+%D8%B9%D8%B3%D9%8A%D8%B1+Aseer+Saudi+Arabia,,
event_eid_2026,فعاليات العيد 2026,Eid Events 2026,events,عسير,https://www.google.com/maps/search/?api=1&query=Eid+Events+2026+%D8%B9%D8%B3%D9%8A%D8%B1+Aseer+Saudi+Arabia,,
event_national_day,اليوم الوطني 95,National Day 95,events,عسير,https://www.google.com/maps/search/?api=1&query=National+Day+95+%D8%B9%D8%B3%D9%8A%D8%B1+Aseer+Saudi+Arabia,,
hotel_abha_palace,فندق قصر أبها,Abha Palace,hotels,أبها,https://www.google.com/maps/search/?api=1&query=Abha+Palace+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
hotel_braira,فندق بريرا,Braira Hotel,hotels,أبها,https://www.google.com/maps/search/?api=1&query=Braira+Hotel+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
hotel_mercure,فندق ميركيور,Mercure Hotel,hotels,خميس مشيط,https://www.google.com/maps/search/?api=1&query=Mercure+Hotel+%D8%AE%D9%85%D9%8A%D8%B3+%D9%85%D8%B4%D9%8A%D8%B7+Aseer+Saudi+Arabia,,
shop_al_rashid,الراشد مول أبها,Al Rashid Mall,shopping,أبها,https://www.google.com/maps/search/?api=1&query=Al+Rashid+Mall+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
shop_khamis_boulevard,بوليفارد خميس مشيط,Khamis Mushait Boulevard,shopping,خميس مشيط,https://www.google.com/maps/search/?api=1&query=Khamis+Mushait+Boulevard+%D8%AE%D9%85%D9%8A%D8%B3+%D9%85%D8%B4%D9%8A%D8%B7+Aseer+Saudi+Arabia,,
shop_tuesday_market,سوق الثلاثاء,Souq Al Thulatha (Tuesday Market),shopping,أبها,https://www.google.com/maps/search/?api=1&query=Souq+Al+Thulatha+%28Tuesday+Market%29+%D8%A3%D8%A8%D9%87%D8%A7+Aseer+Saudi+Arabia,,
